Station Offset to Points Report,,,,
,,,,
Client:,Prepared by:,,,
Client,Preparer,,,
Client Company,Your Company Name,,,
Address 1,123 Main Street,,,
Date: 7/7/2024 10:32:13 AM,,,,
,,,,
,,,,
Alignment Name: en-d19,,,,
Description:,,,,
"Station Range: Start: 17+125.67, End: 23+797.40",,,,
,,,,
Point,Station,Offset,Elevation,Description
508,19+019.64,28.648m,"1,106.142m",
509,19+019.48,36.364m,"1,105.795m",
510,19+040.05,-15.975m,"1,109.432m",
511,19+040.03,-12.814m,"1,109.412m",
512,19+040.06,-9.398m,"1,109.398m",
513,19+040.06,-3.416m,"1,108.032m",
514,19+039.96,0.049m,"1,107.362m",
515,19+040.06,4.094m,"1,106.726m",
516,19+039.95,8.988m,"1,106.572m",
517,19+039.99,12.328m,"1,106.511m",
518,19+039.95,15.048m,"1,106.253m",
519,19+039.92,18.205m,"1,105.983m",
520,19+039.90,21.150m,"1,105.635m",
521,19+039.74,25.892m,"1,105.059m",
522,19+039.68,30.749m,"1,104.916m",
523,19+047.06,26.499m,"1,105.028m",
524,19+047.70,21.097m,"1,105.324m",
525,19+048.27,10.238m,"1,106.443m",
526,19+048.43,7.316m,"1,106.323m",
527,19+048.40,3.259m,"1,106.684m",
528,19+048.44,0.048m,"1,107.325m",
529,19+048.44,-5.264m,"1,108.204m",
530,19+048.32,-7.370m,"1,108.613m",
531,19+048.37,-7.929m,"1,109.456m",
532,19+048.38,-8.384m,"1,109.456m",
533,19+048.20,-12.814m,"1,109.438m",
534,19+048.18,-16.115m,"1,109.450m",
535,19+050.28,20.290m,"1,105.066m",
536,19+050.43,14.142m,"1,105.296m",
537,19+050.22,9.782m,"1,105.442m",
538,19+050.13,6.035m,"1,105.539m",
539,19+050.15,0.152m,"1,105.758m",
540,19+050.27,-5.503m,"1,106.119m",
541,19+050.27,-6.641m,"1,106.377m",
542,19+050.32,-7.420m,"1,106.629m",
543,19+050.30,-7.970m,"1,109.478m",
544,19+050.30,-8.513m,"1,109.474m",
545,19+050.38,-9.476m,"1,109.449m",
546,19+050.52,-12.776m,"1,109.446m",
547,19+050.55,-16.018m,"1,109.446m",
548,19+053.24,21.973m,"1,104.985m",
549,19+053.93,15.923m,"1,105.177m",
550,19+053.89,11.575m,"1,105.327m",
551,19+053.37,5.540m,"1,105.467m",
552,19+053.85,0.134m,"1,105.823m",
553,19+053.91,-3.491m,"1,105.985m",
554,19+053.91,-5.657m,"1,106.228m",
555,19+053.89,-6.680m,"1,106.666m",
556,19+054.02,-7.574m,"1,107.787m",
557,19+053.98,-7.943m,"1,109.434m",
